NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602,,,,,,
295,GPT34GT3150-B,,1,31.71,,,,,,,,,,,
296,GPT36GT3150-B,,1,33.62,,,,,,,,,,,
297,GPT40GT3150-B,,1,37.44,,,,,,,,,,,
298,GPT44GT3150-B,,1,41.26,,,,,,,,,,,
299,GPT48GT3150-B,,1,45.08,,,,,,,,,,,
300,GPT50GT3150-B,,1,46.99,,,,,,,,,,,
301,GPT60GT3150-B,,1,56.54,,,,,,,,,,,
302,GPM16GT3060-A,,1,14.52,,,,,,,,,,,
303,GPM18GT3060-A,,1,16.43,,,,,,,,,,,
304,GPM20GT3060-A,,1,18.34,,,,,,,,,,,
305,GPM16GT3090-A,,1,14.52,,,,,,,,,,,
306,GPM18GT3090-A,,1,16.43,,,,,,,,,,,
307,GPM20GT3090-A,,1,18.34,,,,,,,,,,,
308,GPM16GT3150-A,,1,14.52,,,,,,,,,,,
309,GPM18GT3150-A,,1,16.43,,,,,,,,,,,
310,GPM20GT3150-A,,1,18.34,,,,,,,,,,,
311,GPM22GT3060-A,,1,20.25,,,,,,,,,,,
312,GPM24GT3060-A,,1,22.16,,,,,,,,,,,
313,GPM25GT3060-A,,1,23.11,,,,,,,,,,,
314,GPM26GT3060-A,,1,24.07,,,,,,,,,,,
315,GPM28GT3060-A,,1,25.98,,,,,,,,,,,
316,GPM30GT3060-A,,1,27.89,,,,,,,,,,,
317,GPM32GT3060-A,,1,29.8,,,,,,,,,,,
318,GPM34GT3060-A,,1,31.71,,,,,,,,,,,
319,GPM36GT3060-A,,1,33.62,,,,,,,,,,,
320,GPM40GT3060-A,,1,37.44,,,,,,,,,,,
321,GPM44GT3060-A,,1,41.26,,,,,,,,,,,
322,GPM48GT3060-A,,1,45.08,,,,,,,,,,,
323,GPM50GT3060-A,,1,46.99,,,,,,,,,,,
324,GPM60GT3060-A,,1,56.54,,,,,,,,,,,
325,GPM22GT3090-A,,1,20.25,,,,,,,,,,,
326,GPM24GT3090-A,,1,22.16,,,,,,,,,,,
327,GPM25GT3090-A,,1,23.11,,,,,,,,,,,
328,GPM26GT3090-A,,1,24.07,,,,,,,,,,,
329,GPM28GT3090-A,,1,25.98,,,,,,,,,,,
330,GPM30GT3090-A,,1,27.89,,,,,,,,,,,
331,GPM32GT3090-A,,1,29.8,,,,,,,,,,,
332,GPM34GT3090-A,,1,31.71,,,,,,,,,,,
333,GPM36GT3090-A,,1,33.62,,,,,,,,,,,
334,GPM40GT3090-A,,1,37.44,,,,,,,,,,,
335,GPM44GT3090-A,,1,41.26,,,,,,,,,,,
336,GPM48GT3090-A,,1,45.08,,,,,,,,,,,
337,GPM50GT3090-A,,1,46.99,,,,,,,,,,,
338,GPM60GT3090-A,,1,56.54,,,,,,,,,,,
339,GPM22GT3150-A,,1,20.25,,,,,,,,,,,
340,GPM24GT3150-A,,1,22.16,,,,,,,,,,,
341,GPM25GT3150-A,,1,23.11,,,,,,,,,,,
342,GPM26GT3150-A,,1,24.07,,,,,,,,,,,
343,GPM28GT3150-A,,1,25.98,,,,,,,,,,,
344,GPM30GT3150-A,,1,27.89,,,,,,,,,,,
345,GPM32GT3150-A,,1,29.8,,,,,,,,,,,
346,GPM34GT3150-A,,1,31.71,,,,,,,,,,,
347,GPM36GT3150-A,,1,33.62,,,,,,,,,,,
348,GPM40GT3150-A,,1,37.44,,,,,,,,,,,
349,GPM44GT3150-A,,1,41.26,,,,,,,,,,,
350,GPM48GT3150-A,,1,45.08,,,,,,,,,,,
351,GPM50GT3150-A,,1,46.99,,,,,,,,,,,
352,GPM60GT3150-A,,1,56.54,,,,,,,,,,,
353,GPM22GT3060-B,,1,20.25,,,,,,,,,,,
354,GPM24GT3060-B,,1,22.16,,,,,,,,,,,
355,GPM25GT3060-B,,1,23.11,,,,,,,,,,,
356,GPM26GT3060-B,,1,24.07,,,,,,,,,,,
357,GPM28GT3060-B,,1,25.98,,,,,,,,,,,
358,GPM30GT3060-B,,1,27.89,,,,,,,,,,,
359,GPM32GT3060-B,,1,29.8,,,,,,,,,,,
360,GPM34GT3060-B,,1,31.71,,,,,,,,,,,
361,GPM36GT3060-B,,1,33.62,,,,,,,,,,,
362,GPM40GT3060-B,,1,37.44,,,,,,,,,,,
363,GPM44GT3060-B,,1,41.26,,,,,,,,,,,
364,GPM48GT3060-B,,1,45.08,,,,,,,,,,,
365,GPM50GT3060-B,,1,46.99,,,,,,,,,,,
366,GPM60GT3060-B,,1,56.54,,,,,,,,,,,
367,GPM22GT3090-B,,1,20.25,,,,,,,,,,,
368,GPM24GT3090-B,,1,22.16,,,,,,,,,,,
369,GPM25GT3090-B,,1,23.11,,,,,,,,,,,
370,GPM26GT3090-B,,1,24.07,,,,,,,,,,,
371,GPM28GT3090-B,,1,25.98,,,,,,,,,,,
372,GPM30GT3090-B,,1,27.89,,,,,,,,,,,
373,GPM32GT3090-B,,1,29.8,,,,,,,,,,,
374,GPM34GT3090-B,,1,31.71,,,,,,,,,,,
375,GPM36GT3090-B,,1,33.62,,,,,,,,,,,
376,GPM40GT3090-B,,1,37.44,,,,,,,,,,,
377,GPM44GT3090-B,,1,41.26,,,,,,,,,,,
378,GPM48GT3090-B,,1,45.08,,,,,,,,,,,
379,GPM50GT3090-B,,1,46.99,,,,,,,,,,,
380,GPM60GT3090-B,,1,56.54,,,,,,,,,,,
381,GPM22GT3150-B,,1,20.25,,,,,,,,,,,
382,GPM24GT3150-B,,1,22.16,,,,,,,,,,,
383,GPM25GT3150-B,,1,23.11,,,,,,,,,,,
384,GPM26GT3150-B,,1,24.07,,,,,,,,,,,
385,GPM28GT3150-B,,1,25.98,,,,,,,,,,,
386,GPM30GT3150-B,,1,27.89,,,,,,,,,,,
387,GPM32GT3150-B,,1,29.8,,,,,,,,,,,
388,GPM34GT3150-B,,1,31.71,,,,,,,,,,,
389,GPM36GT3150-B,,1,33.62,,,,,,,,,,,
390,GPM40GT3150-B,,1,37.44,,,,,,,,,,,
391,GPM44GT3150-B,,1,41.26,,,,,,,,,,,
392,GPM48GT3150-B,,1,45.08,,,,,,,,,,,
393,GPM50GT3150-B,,1,46.99,,,,,,,,,,,
394,GPM60GT3150-B,,1,56.54,,,,,,,,,,,
395,GPA14GT5090-A,,1,21.14,,,,,,,,,,,
396,GPA15GT5090-A,,1,22.73,,,,,,,,,,,
397,GPA16GT5090-A,,1,24.32,,,,,,,,,,,
398,GPA18GT5090-A,,1,27.51,,,,,,,,,,,
399,GPA20GT5090-A,,1,30.69,,,,,,,,,,,
400,GPA22GT5090-A,,1,33.87,,,,,,,,,,,
401,GPA24GT5090-A,,1,37.06,,,,,,,,,,,
402,GPA25GT5090-A,,1,38.65,,,,,,,,,,,
403,GPA26GT5090-A,,1,40.24,,,,,,,,,,,
404,GPA28GT5090-A,,1,43.42,,,,,,,,,,,
405,GPA30GT5090-A,,1,46.61,,,,,,,,,,,
406,GPA32GT5090-A,,1,49.79,,,,,,,,,,,
407,GPA34GT5090-A,,1,52.97,,,,,,,,,,,
