NO,TYPE,DRAWING,DISPFLG,#500,#501,#600,#601,#1,#602
38357,GPK56MR3150-B,test1-1.jpg,1,52.72,56,45,1.166,,
38358,GPK60MR3150-B,test1-1.jpg,1,56.54,60,46,1.189,,
38359,GPK62MR3150-B,test1-1.jpg,1,58.45,62,46,1.189,,
38360,GPK68MR3150-B,test1-1.jpg,1,64.18,68,46,1.189,,
38361,GPK72MR3150-B,test1-1.jpg,1,67.99,72,46,1.189,,
38362,GPK16MR3150-A,test1-0.jpg,1,14.52,16,44,1.143,,
38363,GPK17MR3150-A,test1-0.jpg,1,15.47,17,44,1.143,,
38364,GPK18MR3150-A,test1-0.jpg,1,16.43,18,44,1.143,,
38365,GPK19MR3150-A,test1-0.jpg,1,17.38,19,44,1.143,,
38366,GPK20MR3150-A,test1-0.jpg,1,18.34,20,44,1.143,,
38367,GPK21MR3150-A,test1-0.jpg,1,19.29,21,44,1.143,,
38368,GPK22MR3150-A,test1-0.jpg,1,20.25,22,44,1.143,,
38369,GPK24MR3150-A,test1-0.jpg,1,22.16,24,44,1.143,,
38370,GPK25MR3150-A,test1-0.jpg,1,23.11,25,44,1.143,,
38371,GPK26MR3150-A,test1-0.jpg,1,24.07,26,44,1.143,,
38372,GPK28MR3150-A,test1-0.jpg,1,25.98,28,45,1.166,,
38373,GPK30MR3150-A,test1-0.jpg,1,27.89,30,45,1.166,,
38374,GPK32MR3150-A,test1-0.jpg,1,29.8,32,45,1.166,,
38375,GPK34MR3150-A,test1-0.jpg,1,31.71,34,45,1.166,,
38376,GPK36MR3150-A,test1-0.jpg,1,33.62,36,45,1.166,,
38377,GPK38MR3150-A,test1-0.jpg,1,35.53,40,45,1.166,,
38378,GPK40MR3150-A,test1-0.jpg,1,37.44,42,45,1.166,,
38379,GPK44MR3150-A,test1-0.jpg,1,41.26,44,45,1.166,,
38380,GPK45MR3150-A,test1-0.jpg,1,42.21,45,45,1.166,,
38381,GPK48MR3150-A,test1-0.jpg,1,45.08,48,45,1.166,,
38382,GPK50MR3150-A,test1-0.jpg,1,46.99,50,45,1.166,,
38383,GPK56MR3150-A,test1-0.jpg,1,52.72,56,45,1.166,,
38384,GPK60MR3150-A,test1-0.jpg,1,56.54,60,46,1.189,,
38385,GPK62MR3150-A,test1-0.jpg,1,58.45,62,46,1.189,,
38386,GPK68MR3150-A,test1-0.jpg,1,64.18,68,46,1.189,,
38387,GPK72MR3150-A,test1-0.jpg,1,67.99,72,46,1.189,,
38388,GPT16MR3060-K,test1-2.jpg,1,14.52,16,44,1.143,,
38389,GPT17MR3060-K,test1-2.jpg,1,15.47,17,44,1.143,,
38390,GPT18MR3060-K,test1-2.jpg,1,16.43,18,44,1.143,,
38391,GPT19MR3060-K,test1-2.jpg,1,17.38,19,44,1.143,,
38392,GPT20MR3060-K,test1-2.jpg,1,18.34,20,44,1.143,,
38393,GPT21MR3060-K,test1-2.jpg,1,19.29,21,44,1.143,,
38394,GPT22MR3060-K,test1-2.jpg,1,20.25,22,44,1.143,,
38395,GPT24MR3060-B,test1-1.jpg,1,22.16,24,44,1.143,,
38396,GPT25MR3060-B,test1-1.jpg,1,23.11,25,44,1.143,,
38397,GPT26MR3060-B,test1-1.jpg,1,24.07,26,44,1.143,,
38398,GPT28MR3060-B,test1-1.jpg,1,25.98,28,45,1.166,,
38399,GPT30MR3060-B,test1-1.jpg,1,27.89,30,45,1.166,,
38400,GPT32MR3060-B,test1-1.jpg,1,29.8,32,45,1.166,,
38401,GPT34MR3060-B,test1-1.jpg,1,31.71,34,45,1.166,,
38402,GPT36MR3060-B,test1-1.jpg,1,33.62,36,45,1.166,,
38403,GPT38MR3060-B,test1-1.jpg,1,35.53,40,45,1.166,,
38404,GPT40MR3060-B,test1-1.jpg,1,37.44,42,45,1.166,,
38405,GPT44MR3060-B,test1-1.jpg,1,41.26,44,45,1.166,,
38406,GPT45MR3060-B,test1-1.jpg,1,42.21,45,45,1.166,,
38407,GPT48MR3060-B,test1-1.jpg,1,45.08,48,45,1.166,,
38408,GPT50MR3060-B,test1-1.jpg,1,46.99,50,45,1.166,,
38409,GPT56MR3060-B,test1-1.jpg,1,52.72,56,45,1.166,,
38410,GPT60MR3060-B,test1-1.jpg,1,56.54,60,46,1.189,,
38411,GPT62MR3060-B,test1-1.jpg,1,58.45,62,46,1.189,,
38412,GPT68MR3060-B,test1-1.jpg,1,64.18,68,46,1.189,,
38413,GPT72MR3060-B,test1-1.jpg,1,67.99,72,46,1.189,,
38414,GPT16MR3060-A,test1-0.jpg,1,14.52,16,44,1.143,,
38415,GPT17MR3060-A,test1-0.jpg,1,15.47,17,44,1.143,,
38416,GPT18MR3060-A,test1-0.jpg,1,16.43,18,44,1.143,,
38417,GPT19MR3060-A,test1-0.jpg,1,17.38,19,44,1.143,,
38418,GPT20MR3060-A,test1-0.jpg,1,18.34,20,44,1.143,,
38419,GPT21MR3060-A,test1-0.jpg,1,19.29,21,44,1.143,,
38420,GPT22MR3060-A,test1-0.jpg,1,20.25,22,44,1.143,,
38421,GPT24MR3060-A,test1-0.jpg,1,22.16,24,44,1.143,,
38422,GPT25MR3060-A,test1-0.jpg,1,23.11,25,44,1.143,,
38423,GPT26MR3060-A,test1-0.jpg,1,24.07,26,44,1.143,,
38424,GPT28MR3060-A,test1-0.jpg,1,25.98,28,45,1.166,,
38425,GPT30MR3060-A,test1-0.jpg,1,27.89,30,45,1.166,,
38426,GPT32MR3060-A,test1-0.jpg,1,29.8,32,45,1.166,,
38427,GPT34MR3060-A,test1-0.jpg,1,31.71,34,45,1.166,,
38428,GPT36MR3060-A,test1-0.jpg,1,33.62,36,45,1.166,,
38429,GPT38MR3060-A,test1-0.jpg,1,35.53,40,45,1.166,,
38430,GPT40MR3060-A,test1-0.jpg,1,37.44,42,45,1.166,,
38431,GPT44MR3060-A,test1-0.jpg,1,41.26,44,45,1.166,,
38432,GPT45MR3060-A,test1-0.jpg,1,42.21,45,45,1.166,,
38433,GPT48MR3060-A,test1-0.jpg,1,45.08,48,45,1.166,,
38434,GPT50MR3060-A,test1-0.jpg,1,46.99,50,45,1.166,,
38435,GPT56MR3060-A,test1-0.jpg,1,52.72,56,45,1.166,,
38436,GPT60MR3060-A,test1-0.jpg,1,56.54,60,46,1.189,,
38437,GPT62MR3060-A,test1-0.jpg,1,58.45,62,46,1.189,,
38438,GPT68MR3060-A,test1-0.jpg,1,64.18,68,46,1.189,,
38439,GPT72MR3060-A,test1-0.jpg,1,67.99,72,46,1.189,,
38440,GPT16MR3090-K,test1-2.jpg,1,14.52,16,44,1.143,,
38441,GPT17MR3090-K,test1-2.jpg,1,15.47,17,44,1.143,,
38442,GPT18MR3090-K,test1-2.jpg,1,16.43,18,44,1.143,,
38443,GPT19MR3090-K,test1-2.jpg,1,17.38,19,44,1.143,,
38444,GPT20MR3090-K,test1-2.jpg,1,18.34,20,44,1.143,,
38445,GPT21MR3090-K,test1-2.jpg,1,19.29,21,44,1.143,,
38446,GPT22MR3090-K,test1-2.jpg,1,20.25,22,44,1.143,,
38447,GPT24MR3090-B,test1-1.jpg,1,22.16,24,44,1.143,,
38448,GPT25MR3090-B,test1-1.jpg,1,23.11,25,44,1.143,,
38449,GPT26MR3090-B,test1-1.jpg,1,24.07,26,44,1.143,,
38450,GPT28MR3090-B,test1-1.jpg,1,25.98,28,45,1.166,,
38451,GPT30MR3090-B,test1-1.jpg,1,27.89,30,45,1.166,,
38452,GPT32MR3090-B,test1-1.jpg,1,29.8,32,45,1.166,,
38453,GPT34MR3090-B,test1-1.jpg,1,31.71,34,45,1.166,,
38454,GPT36MR3090-B,test1-1.jpg,1,33.62,36,45,1.166,,
38455,GPT38MR3090-B,test1-1.jpg,1,35.53,40,45,1.166,,
38456,GPT40MR3090-B,test1-1.jpg,1,37.44,42,45,1.166,,
38457,GPT44MR3090-B,test1-1.jpg,1,41.26,44,45,1.166,,
38458,GPT45MR3090-B,test1-1.jpg,1,42.21,45,45,1.166,,
38459,GPT48MR3090-B,test1-1.jpg,1,45.08,48,45,1.166,,
38460,GPT50MR3090-B,test1-1.jpg,1,46.99,50,45,1.166,,
38461,GPT56MR3090-B,test1-1.jpg,1,52.72,56,45,1.166,,
38462,GPT60MR3090-B,test1-1.jpg,1,56.54,60,46,1.189,,
38463,GPT62MR3090-B,test1-1.jpg,1,58.45,62,46,1.189,,
38464,GPT68MR3090-B,test1-1.jpg,1,64.18,68,46,1.189,,
38465,GPT72MR3090-B,test1-1.jpg,1,67.99,72,46,1.189,,
38466,GPT16MR3090-A,test1-0.jpg,1,14.52,16,44,1.143,,
38467,GPT17MR3090-A,test1-0.jpg,1,15.47,17,44,1.143,,
38468,GPT18MR3090-A,test1-0.jpg,1,16.43,18,44,1.143,,
38469,GPT19MR3090-A,test1-0.jpg,1,17.38,19,44,1.143,,
38470,GPT20MR3090-A,test1-0.jpg,1,18.34,20,44,1.143,,
38471,GPT21MR3090-A,test1-0.jpg,1,19.29,21,44,1.143,,
38472,GPT22MR3090-A,test1-0.jpg,1,20.25,22,44,1.143,,
38473,GPT24MR3090-A,test1-0.jpg,1,22.16,24,44,1.143,,
38474,GPT25MR3090-A,test1-0.jpg,1,23.11,25,44,1.143,,
38475,GPT26MR3090-A,test1-0.jpg,1,24.07,26,44,1.143,,
38476,GPT28MR3090-A,test1-0.jpg,1,25.98,28,45,1.166,,
38477,GPT30MR3090-A,test1-0.jpg,1,27.89,30,45,1.166,,
