NO,TYPE,DEFINE1,DEFINE2
779,GPA38YU8250-A,,
780,GPA40YU8250-A,,
781,GPA44YU8250-A,,
782,GPA48YU8250-A,,
783,GPA50YU8250-A,,
784,GPA60YU8250-A,,
785,GPT20YU8150-A,,
786,GPT22YU8150-A,,
787,GPT24YU8150-A,,
788,GPT25YU8150-A,,
789,GPT26YU8150-A,,
790,GPT28YU8150-A,,
791,GPT30YU8150-A,,
792,GPT32YU8150-A,,
793,GPT34YU8150-A,,
794,GPT36YU8150-A,,
795,GPT38YU8150-A,,
796,GPT40YU8150-A,,
797,GPT44YU8150-A,,
798,GPT48YU8150-A,,
799,GPT50YU8150-A,,
800,GPT60YU8150-A,,
801,GPT20YU8200-A,,
802,GPT22YU8200-A,,
803,GPT24YU8200-A,,
804,GPT25YU8200-A,,
805,GPT26YU8200-A,,
806,GPT28YU8200-A,,
807,GPT30YU8200-A,,
808,GPT32YU8200-A,,
809,GPT34YU8200-A,,
810,GPT36YU8200-A,,
811,GPT38YU8200-A,,
812,GPT40YU8200-A,,
813,GPT44YU8200-A,,
814,GPT48YU8200-A,,
815,GPT50YU8200-A,,
816,GPT60YU8200-A,,
817,GPT20YU8250-A,,
818,GPT22YU8250-A,,
819,GPT24YU8250-A,,
820,GPT25YU8250-A,,
821,GPT26YU8250-A,,
822,GPT28YU8250-A,,
823,GPT30YU8250-A,,
824,GPT32YU8250-A,,
825,GPT34YU8250-A,,
826,GPT36YU8250-A,,
827,GPT38YU8250-A,,
828,GPT40YU8250-A,,
829,GPT44YU8250-A,,
830,GPT48YU8250-A,,
831,GPT50YU8250-A,,
832,GPT60YU8250-A,,
833,GPM20YU8150-A,,
834,GPM22YU8150-A,,
835,GPM24YU8150-A,,
836,GPM25YU8150-A,,
837,GPM26YU8150-A,,
838,GPM28YU8150-A,,
839,GPM30YU8150-A,,
840,GPM32YU8150-A,,
841,GPM34YU8150-A,,
842,GPM36YU8150-A,,
843,GPM38YU8150-A,,
844,GPM40YU8150-A,,
845,GPM44YU8150-A,,
846,GPM48YU8150-A,,
847,GPM50YU8150-A,,
848,GPM60YU8150-A,,
849,GPM20YU8200-A,,
850,GPM22YU8200-A,,
851,GPM24YU8200-A,,
852,GPM25YU8200-A,,
853,GPM26YU8200-A,,
854,GPM28YU8200-A,,
855,GPM30YU8200-A,,
856,GPM32YU8200-A,,
857,GPM34YU8200-A,,
858,GPM36YU8200-A,,
859,GPM38YU8200-A,,
860,GPM40YU8200-A,,
861,GPM44YU8200-A,,
862,GPM48YU8200-A,,
863,GPM50YU8200-A,,
864,GPM60YU8200-A,,
865,GPM20YU8250-A,,
866,GPM22YU8250-A,,
867,GPM24YU8250-A,,
868,GPM25YU8250-A,,
869,GPM26YU8250-A,,
870,GPM28YU8250-A,,
871,GPM30YU8250-A,,
872,GPM32YU8250-A,,
873,GPM34YU8250-A,,
874,GPM36YU8250-A,,
875,GPM38YU8250-A,,
876,GPM40YU8250-A,,
877,GPM44YU8250-A,,
878,GPM48YU8250-A,,
879,GPM50YU8250-A,,
880,GPM60YU8250-A,,
881,GPA20YU8150-B,,
882,GPA22YU8150-B,,
883,GPA24YU8150-B,,
884,GPA25YU8150-B,,
